locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCEDHOCC_00496	CDS	1245				hypothetical protein
LCEDHOCC_00497	gene	168				
LCEDHOCC_00497	CDS	168				hypothetical protein
LCEDHOCC_00498	gene	288				
LCEDHOCC_00498	CDS	288			COG2732	Barstar
LCEDHOCC_00499	gene	174				
LCEDHOCC_00499	CDS	174				hypothetical protein
LCEDHOCC_00500	gene	465				
LCEDHOCC_00500	CDS	465				hypothetical protein
LCEDHOCC_00501	gene	1596				
LCEDHOCC_00501	CDS	1596				hypothetical protein
LCEDHOCC_00502	gene	1473	pykA			
LCEDHOCC_00502	CDS	1473	pykA	2.7.1.40	COG0469	Pyruvate kinase II
LCEDHOCC_00503	gene	1671				
LCEDHOCC_00503	CDS	1671			COG2067	Putative outer membrane protein
LCEDHOCC_00504	gene	198				
LCEDHOCC_00504	CDS	198				hypothetical protein
LCEDHOCC_00505	gene	1017				
LCEDHOCC_00505	CDS	1017				hypothetical protein
LCEDHOCC_00506	gene	1041	gltS			
LCEDHOCC_00506	CDS	1041	gltS		COG0786	Sodium/glutamate symporter
LCEDHOCC_00507	gene	723	lpxH			
LCEDHOCC_00507	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
LCEDHOCC_00508	gene	3486	smc_1			
LCEDHOCC_00508	CDS	3486	smc_1			Chromosome partition protein Smc
LCEDHOCC_00509	gene	825	adhA			
LCEDHOCC_00509	CDS	825	adhA	1.1.1.1		Alcohol dehydrogenase 1
LCEDHOCC_00510	gene	1800	nuoL			
LCEDHOCC_00510	CDS	1800	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
LCEDHOCC_00511	gene	321				
LCEDHOCC_00511	CDS	321				hypothetical protein
LCEDHOCC_00512	gene	1716				
LCEDHOCC_00512	CDS	1716				hypothetical protein
LCEDHOCC_00513	gene	1497	nuoM			
LCEDHOCC_00513	CDS	1497	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
LCEDHOCC_00514	gene	135				
LCEDHOCC_00514	CDS	135				hypothetical protein
LCEDHOCC_00515	gene	297				
LCEDHOCC_00515	CDS	297				hypothetical protein
LCEDHOCC_00516	gene	624	lipB			
LCEDHOCC_00516	CDS	624	lipB	2.3.1.181	COG0321	Octanoyltransferase
LCEDHOCC_00517	gene	276				
LCEDHOCC_00517	CDS	276				hypothetical protein
LCEDHOCC_00518	gene	1071	yhhT			
LCEDHOCC_00518	CDS	1071	yhhT		COG0628	Putative transport protein YhhT
LCEDHOCC_00519	gene	948				
LCEDHOCC_00519	CDS	948			COG0330	putative protein
LCEDHOCC_00520	gene	408				
LCEDHOCC_00520	CDS	408				hypothetical protein
LCEDHOCC_00521	gene	660	ung			
LCEDHOCC_00521	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
LCEDHOCC_00522	gene	648				
LCEDHOCC_00522	CDS	648				hypothetical protein
LCEDHOCC_00523	gene	561				
LCEDHOCC_00523	CDS	561				hypothetical protein
LCEDHOCC_00524	gene	1446	aspA			
LCEDHOCC_00524	CDS	1446	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
LCEDHOCC_00525	gene	876				
LCEDHOCC_00525	CDS	876				hypothetical protein
LCEDHOCC_00526	gene	297				
LCEDHOCC_00526	CDS	297				hypothetical protein
LCEDHOCC_00527	gene	447	dnaJ_1			
LCEDHOCC_00527	CDS	447	dnaJ_1			Chaperone protein DnaJ
LCEDHOCC_00528	gene	480	ybaK			
LCEDHOCC_00528	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
LCEDHOCC_00529	gene	363	yabJ			
LCEDHOCC_00529	CDS	363	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
LCEDHOCC_00530	gene	867	ygfZ			
LCEDHOCC_00530	CDS	867	ygfZ		COG0354	tRNA-modifying protein YgfZ
LCEDHOCC_00531	gene	960	ttcA			
LCEDHOCC_00531	CDS	960	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
LCEDHOCC_00532	gene	1413	trkA			
LCEDHOCC_00532	CDS	1413	trkA		COG0569	Trk system potassium uptake protein TrkA
LCEDHOCC_00533	gene	1524	fumB			
LCEDHOCC_00533	CDS	1524	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
LCEDHOCC_00534	gene	807	artI			
LCEDHOCC_00534	CDS	807	artI		COG0834	Putative ABC transporter arginine-binding protein 2
LCEDHOCC_00535	gene	252				
LCEDHOCC_00535	CDS	252				hypothetical protein
LCEDHOCC_00536	gene	762				
LCEDHOCC_00536	CDS	762				hypothetical protein
LCEDHOCC_00537	gene	564				
LCEDHOCC_00537	CDS	564		3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
LCEDHOCC_00538	gene	570	vioB			
LCEDHOCC_00538	CDS	570	vioB	2.3.1.209	COG0110	dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase
LCEDHOCC_00539	gene	507				
LCEDHOCC_00539	CDS	507				hypothetical protein
LCEDHOCC_00540	gene	1137				
LCEDHOCC_00540	CDS	1137				hypothetical protein
LCEDHOCC_00541	gene	1242	mtr			
LCEDHOCC_00541	CDS	1242	mtr			Tryptophan-specific transport protein
LCEDHOCC_00542	gene	717	ubiG			
LCEDHOCC_00542	CDS	717	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
LCEDHOCC_00543	gene	717				
LCEDHOCC_00543	CDS	717				hypothetical protein
LCEDHOCC_00544	gene	423	yhfA			
LCEDHOCC_00544	CDS	423	yhfA		COG1765	Protein YhfA
LCEDHOCC_00545	gene	669				
LCEDHOCC_00545	CDS	669				hypothetical protein
LCEDHOCC_00546	gene	687	purN			
LCEDHOCC_00546	CDS	687	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
LCEDHOCC_00547	gene	819	fkpA			
LCEDHOCC_00547	CDS	819	fkpA	5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
LCEDHOCC_00548	gene	441				
LCEDHOCC_00548	CDS	441				hypothetical protein
LCEDHOCC_00549	gene	1002	pepA			
LCEDHOCC_00549	CDS	1002	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
LCEDHOCC_00550	gene	957	thiL			
LCEDHOCC_00550	CDS	957	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
LCEDHOCC_00551	gene	486	pgpA			
LCEDHOCC_00551	CDS	486	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
LCEDHOCC_00552	gene	1677	ettA			
LCEDHOCC_00552	CDS	1677	ettA		COG0488	Energy-dependent translational throttle protein EttA
LCEDHOCC_00553	gene	1356				
LCEDHOCC_00553	CDS	1356				hypothetical protein
LCEDHOCC_00554	gene	1011				
LCEDHOCC_00554	CDS	1011		5.1.3.21	COG2017	Maltose epimerase
LCEDHOCC_00555	gene	174				
LCEDHOCC_00555	CDS	174				hypothetical protein
LCEDHOCC_00556	gene	504				
LCEDHOCC_00556	CDS	504				hypothetical protein
LCEDHOCC_00557	gene	519				
LCEDHOCC_00557	CDS	519				hypothetical protein
LCEDHOCC_00558	gene	228				
LCEDHOCC_00558	CDS	228				hypothetical protein
LCEDHOCC_00559	gene	303				
LCEDHOCC_00559	CDS	303				hypothetical protein
LCEDHOCC_00560	gene	372				
LCEDHOCC_00560	CDS	372				hypothetical protein
LCEDHOCC_00561	gene	177				
LCEDHOCC_00561	CDS	177				hypothetical protein
LCEDHOCC_00562	gene	291				
LCEDHOCC_00562	CDS	291				hypothetical protein
LCEDHOCC_00563	gene	876				
LCEDHOCC_00563	CDS	876				hypothetical protein
LCEDHOCC_00564	gene	906				
LCEDHOCC_00564	CDS	906				hypothetical protein
LCEDHOCC_00565	gene	204				
LCEDHOCC_00565	CDS	204				hypothetical protein
LCEDHOCC_00566	gene	282				
LCEDHOCC_00566	CDS	282				hypothetical protein
LCEDHOCC_00567	gene	213				
LCEDHOCC_00567	CDS	213				hypothetical protein
LCEDHOCC_00568	gene	1023	aspC			
LCEDHOCC_00568	CDS	1023	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
LCEDHOCC_00569	gene	936	hemC			
LCEDHOCC_00569	CDS	936	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
LCEDHOCC_00570	gene	516	ybeY			
LCEDHOCC_00570	CDS	516	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
LCEDHOCC_00571	gene	825	corC			
LCEDHOCC_00571	CDS	825	corC		COG4535	Magnesium and cobalt efflux protein CorC
LCEDHOCC_00572	gene	1380	nhaC			
LCEDHOCC_00572	CDS	1380	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
LCEDHOCC_00573	gene	261				
LCEDHOCC_00573	CDS	261				hypothetical protein
LCEDHOCC_00574	gene	942	era			
LCEDHOCC_00574	CDS	942	era		COG1159	GTPase Era
LCEDHOCC_00575	gene	720	rnc			
LCEDHOCC_00575	CDS	720	rnc	3.1.26.3	COG0571	Ribonuclease 3
LCEDHOCC_00576	gene	324				
LCEDHOCC_00576	CDS	324				hypothetical protein
LCEDHOCC_00577	gene	477	ribE			
LCEDHOCC_00577	CDS	477	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
LCEDHOCC_00578	gene	426	nusB			
LCEDHOCC_00578	CDS	426	nusB			Transcription antitermination protein NusB
LCEDHOCC_00579	gene	1035	pyrC			
LCEDHOCC_00579	CDS	1035	pyrC	3.5.2.3	COG0418	Dihydroorotase
LCEDHOCC_00580	gene	225	tusA			
LCEDHOCC_00580	CDS	225	tusA		COG0425	Sulfur carrier protein TusA
LCEDHOCC_00581	gene	645				
LCEDHOCC_00581	CDS	645				hypothetical protein
LCEDHOCC_00582	gene	882	lpxL_1			
LCEDHOCC_00582	CDS	882	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
LCEDHOCC_00583	gene	537	ruvC_1			
LCEDHOCC_00583	CDS	537	ruvC_1	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
LCEDHOCC_00584	gene	240	fis_1			
LCEDHOCC_00584	CDS	240	fis_1		COG2901	DNA-binding protein Fis
LCEDHOCC_00585	gene	1011	dusB_1			
LCEDHOCC_00585	CDS	1011	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
LCEDHOCC_00586	gene	1374	rhlE_1			
LCEDHOCC_00586	CDS	1374	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
LCEDHOCC_00587	gene	1011				
LCEDHOCC_00587	CDS	1011				hypothetical protein
LCEDHOCC_00588	gene	132	sstT			
LCEDHOCC_00588	CDS	132	sstT			Serine/threonine transporter SstT
LCEDHOCC_00589	gene	1461				
LCEDHOCC_00589	CDS	1461				hypothetical protein
LCEDHOCC_00590	gene	216				
LCEDHOCC_00590	CDS	216				hypothetical protein
LCEDHOCC_00591	gene	108				
LCEDHOCC_00591	CDS	108				hypothetical protein
LCEDHOCC_00592	gene	1344	argG_1			
LCEDHOCC_00592	CDS	1344	argG_1	6.3.4.5	COG0137	Argininosuccinate synthase
LCEDHOCC_00593	gene	801	pncC_1			
LCEDHOCC_00593	CDS	801	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
LCEDHOCC_00594	gene	372				
LCEDHOCC_00594	CDS	372				hypothetical protein
LCEDHOCC_00595	gene	1470	mltA			
LCEDHOCC_00595	CDS	1470	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
LCEDHOCC_00596	gene	519				
LCEDHOCC_00596	CDS	519				hypothetical protein
LCEDHOCC_00597	gene	1839	glmS			
LCEDHOCC_00597	CDS	1839	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LCEDHOCC_00598	gene	999				
LCEDHOCC_00598	CDS	999				hypothetical protein
LCEDHOCC_00599	gene	1023	ydiO			
LCEDHOCC_00599	CDS	1023	ydiO	2.1.1.37	COG0270	putative BsuMI modification methylase subunit YdiO
LCEDHOCC_00600	gene	753				
LCEDHOCC_00600	CDS	753				hypothetical protein
LCEDHOCC_00601	gene	1125				
LCEDHOCC_00601	CDS	1125				hypothetical protein
LCEDHOCC_00602	gene	1743				
LCEDHOCC_00602	CDS	1743				hypothetical protein
LCEDHOCC_00603	gene	786	lipA			
LCEDHOCC_00603	CDS	786	lipA	2.8.1.8	COG0320	Lipoyl synthase
LCEDHOCC_00604	gene	1281				
LCEDHOCC_00604	CDS	1281				hypothetical protein
LCEDHOCC_00605	gene	300				
LCEDHOCC_00605	CDS	300				hypothetical protein
LCEDHOCC_00606	gene	186				
LCEDHOCC_00606	CDS	186				hypothetical protein
LCEDHOCC_00607	gene	1311	lplT			
LCEDHOCC_00607	CDS	1311	lplT			Lysophospholipid transporter LplT
LCEDHOCC_00608	gene	735	dnaQ			
LCEDHOCC_00608	CDS	735	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
LCEDHOCC_00609	gene	690	ispD			
LCEDHOCC_00609	CDS	690	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
LCEDHOCC_00610	gene	483	ispF			
LCEDHOCC_00610	CDS	483	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
LCEDHOCC_00611	gene	318				
LCEDHOCC_00611	CDS	318				hypothetical protein
LCEDHOCC_00612	gene	156				
LCEDHOCC_00612	CDS	156				hypothetical protein
LCEDHOCC_00613	gene	174				
LCEDHOCC_00613	CDS	174				hypothetical protein
LCEDHOCC_00614	gene	126				
LCEDHOCC_00614	CDS	126				hypothetical protein
LCEDHOCC_00615	gene	177				
LCEDHOCC_00615	CDS	177				hypothetical protein
LCEDHOCC_00616	gene	1557				
LCEDHOCC_00616	CDS	1557				hypothetical protein
LCEDHOCC_00617	gene	171				
LCEDHOCC_00617	CDS	171				hypothetical protein
LCEDHOCC_00618	gene	216				
LCEDHOCC_00618	CDS	216				hypothetical protein
LCEDHOCC_00619	gene	942				
LCEDHOCC_00619	CDS	942				hypothetical protein
LCEDHOCC_00620	gene	249				
LCEDHOCC_00620	CDS	249				hypothetical protein
LCEDHOCC_00621	gene	144				
LCEDHOCC_00621	CDS	144				hypothetical protein
LCEDHOCC_00622	gene	204				
LCEDHOCC_00622	CDS	204				hypothetical protein
LCEDHOCC_00623	gene	111				
LCEDHOCC_00623	CDS	111				hypothetical protein
LCEDHOCC_00624	gene	891	sucD			
LCEDHOCC_00624	CDS	891	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
LCEDHOCC_00625	gene	1167	sucC			
LCEDHOCC_00625	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
LCEDHOCC_00626	gene	288				
LCEDHOCC_00626	CDS	288				hypothetical protein
LCEDHOCC_00627	gene	633	ribBA			
LCEDHOCC_00627	CDS	633	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
LCEDHOCC_00628	gene	1602				
LCEDHOCC_00628	CDS	1602				hypothetical protein
LCEDHOCC_00629	gene	798				
LCEDHOCC_00629	CDS	798				hypothetical protein
LCEDHOCC_00630	gene	990				
LCEDHOCC_00630	CDS	990				hypothetical protein
LCEDHOCC_00631	gene	672				
LCEDHOCC_00631	CDS	672				hypothetical protein
LCEDHOCC_00632	gene	2256				
LCEDHOCC_00632	CDS	2256				hypothetical protein
LCEDHOCC_00633	gene	1161	aniA			
LCEDHOCC_00633	CDS	1161	aniA	1.7.2.1	COG2132	Copper-containing nitrite reductase
LCEDHOCC_00634	gene	756				
LCEDHOCC_00634	CDS	756		1.8.3.7	COG1262	Formylglycine-generating enzyme
LCEDHOCC_00635	gene	1512	lysS			
LCEDHOCC_00635	CDS	1512	lysS	6.1.1.6		Lysine--tRNA ligase
LCEDHOCC_00636	gene	1254				
LCEDHOCC_00636	CDS	1254				hypothetical protein
LCEDHOCC_00637	gene	1797				
LCEDHOCC_00637	CDS	1797				hypothetical protein
LCEDHOCC_00638	gene	996	fbpA			
LCEDHOCC_00638	CDS	996	fbpA			Major ferric iron-binding protein
LCEDHOCC_00639	gene	1518				
LCEDHOCC_00639	CDS	1518				hypothetical protein
LCEDHOCC_00640	gene	1059	fbpC			
LCEDHOCC_00640	CDS	1059	fbpC	7.2.2.7		Fe(3+) ions import ATP-binding protein FbpC
LCEDHOCC_00641	gene	1503				
LCEDHOCC_00641	CDS	1503				hypothetical protein
LCEDHOCC_00642	gene	375				
LCEDHOCC_00642	CDS	375				hypothetical protein
LCEDHOCC_00643	gene	378				
LCEDHOCC_00643	CDS	378				hypothetical protein
LCEDHOCC_00644	gene	1689				
LCEDHOCC_00644	CDS	1689				hypothetical protein
LCEDHOCC_00645	gene	510				
LCEDHOCC_00645	CDS	510				hypothetical protein
LCEDHOCC_00646	gene	1899				
LCEDHOCC_00646	CDS	1899				hypothetical protein
LCEDHOCC_00647	gene	76				
LCEDHOCC_00647	tRNA	76				tRNA-Trp(cca)
LCEDHOCC_00648	gene	279	secE			
LCEDHOCC_00648	CDS	279	secE			Protein translocase subunit SecE
LCEDHOCC_00649	gene	537	nusG			
LCEDHOCC_00649	CDS	537	nusG		COG0250	Transcription termination/antitermination protein NusG
LCEDHOCC_00650	gene	435	rplK			
LCEDHOCC_00650	CDS	435	rplK		COG0080	50S ribosomal protein L11
LCEDHOCC_00651	gene	696	rplA			
LCEDHOCC_00651	CDS	696	rplA		COG0081	50S ribosomal protein L1
LCEDHOCC_00652	gene	501	rplJ			
LCEDHOCC_00652	CDS	501	rplJ		COG0244	50S ribosomal protein L10
LCEDHOCC_00653	gene	372	rplL			
LCEDHOCC_00653	CDS	372	rplL			50S ribosomal protein L7/L12
LCEDHOCC_00654	gene	408				
LCEDHOCC_00654	CDS	408				hypothetical protein
LCEDHOCC_00655	gene	711				
LCEDHOCC_00655	CDS	711				hypothetical protein
LCEDHOCC_00656	gene	2106	fusA			
LCEDHOCC_00656	CDS	2106	fusA		COG0480	Elongation factor G
LCEDHOCC_00657	gene	471	rpsG			
LCEDHOCC_00657	CDS	471	rpsG		COG0049	30S ribosomal protein S7
LCEDHOCC_00658	gene	372	rpsL			
LCEDHOCC_00658	CDS	372	rpsL		COG0048	30S ribosomal protein S12
LCEDHOCC_00659	gene	2079	rpoC			
LCEDHOCC_00659	CDS	2079	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
LCEDHOCC_00660	gene	246				
LCEDHOCC_00660	CDS	246				hypothetical protein
LCEDHOCC_00661	gene	429				
LCEDHOCC_00661	CDS	429				hypothetical protein
LCEDHOCC_00662	gene	477				
LCEDHOCC_00662	CDS	477		3.6.1.25	COG2954	Inorganic triphosphatase
LCEDHOCC_00663	gene	489	folA			
LCEDHOCC_00663	CDS	489	folA	1.5.1.3	COG0262	Dihydrofolate reductase
LCEDHOCC_00664	gene	1056	aroG			
LCEDHOCC_00664	CDS	1056	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
LCEDHOCC_00665	gene	309				
LCEDHOCC_00665	CDS	309				hypothetical protein
LCEDHOCC_00666	gene	288				
LCEDHOCC_00666	CDS	288				hypothetical protein
LCEDHOCC_00667	gene	375				
LCEDHOCC_00667	CDS	375				IS1595 family transposase ISNme4
LCEDHOCC_00668	gene	915				
LCEDHOCC_00668	CDS	915			COG0803	putative periplasmic iron-binding protein
LCEDHOCC_00669	gene	876	mntC_1			
LCEDHOCC_00669	CDS	876	mntC_1		COG1108	Manganese transport system membrane protein MntC
LCEDHOCC_00670	gene	756	scaC_1			
LCEDHOCC_00670	CDS	756	scaC_1	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
LCEDHOCC_00671	gene	366	rplS_1			
LCEDHOCC_00671	CDS	366	rplS_1		COG0335	50S ribosomal protein L19
LCEDHOCC_00672	gene	750	trmD			
LCEDHOCC_00672	CDS	750	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
LCEDHOCC_00673	gene	510	rimM			
LCEDHOCC_00673	CDS	510	rimM		COG0806	Ribosome maturation factor RimM
LCEDHOCC_00674	gene	246	rpsP			
LCEDHOCC_00674	CDS	246	rpsP		COG0228	30S ribosomal protein S16
LCEDHOCC_00675	gene	429				
LCEDHOCC_00675	CDS	429				hypothetical protein
LCEDHOCC_00676	gene	1635	pyrG			
LCEDHOCC_00676	CDS	1635	pyrG	6.3.4.2	COG0504	CTP synthase
LCEDHOCC_00677	gene	1671	fadD_1			
LCEDHOCC_00677	CDS	1671	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LCEDHOCC_00678	gene	1104	mnmA_1			
LCEDHOCC_00678	CDS	1104	mnmA_1	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
LCEDHOCC_00679	gene	474				
LCEDHOCC_00679	CDS	474				hypothetical protein
LCEDHOCC_00680	gene	1224				
LCEDHOCC_00680	CDS	1224				hypothetical protein
LCEDHOCC_00681	gene	1443	tldD			
LCEDHOCC_00681	CDS	1443	tldD	3.4.-.-	COG0312	Metalloprotease TldD
LCEDHOCC_00682	gene	462				
LCEDHOCC_00682	CDS	462				hypothetical protein
LCEDHOCC_00683	gene	822	prmC			
LCEDHOCC_00683	CDS	822	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
LCEDHOCC_00684	gene	411				
LCEDHOCC_00684	CDS	411			COG2822	Efem/EfeO family lipoprotein
LCEDHOCC_00685	gene	1266	efeB			
LCEDHOCC_00685	CDS	1266	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
LCEDHOCC_00686	gene	330				
LCEDHOCC_00686	CDS	330				hypothetical protein
LCEDHOCC_00687	gene	1371	glmU_1			
LCEDHOCC_00687	CDS	1371	glmU_1			Bifunctional protein GlmU
LCEDHOCC_00688	gene	273				
LCEDHOCC_00688	CDS	273				hypothetical protein
LCEDHOCC_00689	gene	714	gph_1			
LCEDHOCC_00689	CDS	714	gph_1	3.1.3.18		Phosphoglycolate phosphatase
LCEDHOCC_00690	gene	2178				
LCEDHOCC_00690	CDS	2178				hypothetical protein
LCEDHOCC_00691	gene	2832	lbpA_1			
LCEDHOCC_00691	CDS	2832	lbpA_1		COG1629	Lactoferrin-binding protein A
LCEDHOCC_00692	gene	591				
LCEDHOCC_00692	CDS	591				hypothetical protein
LCEDHOCC_00693	gene	480	lptE_1			
LCEDHOCC_00693	CDS	480	lptE_1		COG2980	LPS-assembly lipoprotein LptE
LCEDHOCC_00694	gene	780	yfiH_1			
LCEDHOCC_00694	CDS	780	yfiH_1	1.10.3.-	COG1496	Polyphenol oxidase
LCEDHOCC_00695	gene	192				
LCEDHOCC_00695	CDS	192				hypothetical protein
LCEDHOCC_00696	gene	948	panS			
LCEDHOCC_00696	CDS	948	panS		COG0385	Pantothenate precursors transporter PanS
LCEDHOCC_00697	gene	1179				
LCEDHOCC_00697	CDS	1179				hypothetical protein
LCEDHOCC_00698	gene	138				
LCEDHOCC_00698	CDS	138				hypothetical protein
LCEDHOCC_00699	gene	1833				
LCEDHOCC_00699	CDS	1833				hypothetical protein
LCEDHOCC_00700	gene	1092				
LCEDHOCC_00700	CDS	1092				hypothetical protein
LCEDHOCC_00701	gene	645				
LCEDHOCC_00701	CDS	645				hypothetical protein
LCEDHOCC_00702	gene	249				
LCEDHOCC_00702	CDS	249				hypothetical protein
LCEDHOCC_00703	gene	213				
LCEDHOCC_00703	CDS	213				hypothetical protein
LCEDHOCC_00704	gene	450				
LCEDHOCC_00704	CDS	450				hypothetical protein
LCEDHOCC_00705	gene	234				
LCEDHOCC_00705	CDS	234				hypothetical protein
LCEDHOCC_00706	gene	939	potA			
LCEDHOCC_00706	CDS	939	potA	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
LCEDHOCC_00707	gene	876				
LCEDHOCC_00707	CDS	876				hypothetical protein
LCEDHOCC_00708	gene	77				
LCEDHOCC_00708	tRNA	77				tRNA-Met(cat)
LCEDHOCC_00709	gene	1902	thiC			
LCEDHOCC_00709	CDS	1902	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
LCEDHOCC_00710	gene	768				
LCEDHOCC_00710	CDS	768				hypothetical protein
LCEDHOCC_00711	gene	1389	rhlE_2			
LCEDHOCC_00711	CDS	1389	rhlE_2	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
LCEDHOCC_00712	gene	555				
LCEDHOCC_00712	CDS	555				hypothetical protein
LCEDHOCC_00713	gene	501				
LCEDHOCC_00713	CDS	501				hypothetical protein
LCEDHOCC_00714	gene	531				
LCEDHOCC_00714	CDS	531				hypothetical protein
LCEDHOCC_00715	gene	1437				
LCEDHOCC_00715	CDS	1437				hypothetical protein
LCEDHOCC_00716	gene	1380	mdtK			
LCEDHOCC_00716	CDS	1380	mdtK		COG0534	Multidrug resistance protein MdtK
LCEDHOCC_00717	gene	1152	hisZ			
LCEDHOCC_00717	CDS	1152	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
LCEDHOCC_00718	gene	360				
LCEDHOCC_00718	CDS	360				hypothetical protein
LCEDHOCC_00719	gene	177				
LCEDHOCC_00719	CDS	177				hypothetical protein
LCEDHOCC_00720	gene	999	ilvK			
LCEDHOCC_00720	CDS	999	ilvK	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase 2
LCEDHOCC_00721	gene	786	fabI			
LCEDHOCC_00721	CDS	786	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
LCEDHOCC_00722	gene	822	dapD			
LCEDHOCC_00722	CDS	822	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
LCEDHOCC_00723	gene	1425	pgi_2			
LCEDHOCC_00723	CDS	1425	pgi_2	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
LCEDHOCC_00724	gene	1917				
LCEDHOCC_00724	CDS	1917				hypothetical protein
LCEDHOCC_00725	gene	945	truB			
LCEDHOCC_00725	CDS	945	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
LCEDHOCC_00726	gene	372	rbfA			
LCEDHOCC_00726	CDS	372	rbfA			Ribosome-binding factor A
LCEDHOCC_00727	gene	672				
LCEDHOCC_00727	CDS	672				hypothetical protein
LCEDHOCC_00728	gene	825	trpC			
LCEDHOCC_00728	CDS	825	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
LCEDHOCC_00729	gene	957				
LCEDHOCC_00729	CDS	957				hypothetical protein
LCEDHOCC_00730	gene	1539	murJ			
LCEDHOCC_00730	CDS	1539	murJ		COG0728	putative lipid II flippase MurJ
LCEDHOCC_00731	gene	726				
LCEDHOCC_00731	CDS	726				hypothetical protein
LCEDHOCC_00732	gene	405				
LCEDHOCC_00732	CDS	405				hypothetical protein
LCEDHOCC_00733	gene	792				
LCEDHOCC_00733	CDS	792				hypothetical protein
LCEDHOCC_00734	gene	303				
LCEDHOCC_00734	CDS	303				hypothetical protein
LCEDHOCC_00735	gene	309				
LCEDHOCC_00735	CDS	309				hypothetical protein
LCEDHOCC_00736	gene	2151	tbpB			
LCEDHOCC_00736	CDS	2151	tbpB			Transferrin-binding protein 2
LCEDHOCC_00737	gene	1968	ftsH			
LCEDHOCC_00737	CDS	1968	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
LCEDHOCC_00738	gene	621	rlmE			
